	MCT1_id	MCT1_name	MCT1_r_value	SIT4_id	SIT4_name	SIT4_r_value	PHO85_id	PHO85_name	PHO85_r_value	PHO84_id	PHO84_name	PHO84_r_value	PHO4_id	PHO4_name	PHO4_r_value	REG1_id	REG1_name	REG1_r_value	PHO80_id	PHO80_name	PHO80_r_value	PHO81_id	PHO81_name	PHO81_r_value	PHO89_id	PHO89_name	PHO89_r_value	PHO2_id	PHO2_name	PHO2_r_value	PHO87_id	PHO87_name	PHO87_r_value	PHO90_id	PHO90_name	PHO90_r_value
0	YOR221C	MCT1	1.0000000000000044	YDL047W	SIT4	0.9999999999999865	YPL031C	PHO85	0.9999999999999918	YML123C	PHO84	1.000000000000001	YFR034C	PHO4	1.0000000000000018	YDR028C	REG1	0.9999999999999944	YOL001W	PHO80	0.9999999999999882	YGR233C	PHO81	0.9999999999999991	YBR296C	PHO89	0.999999999999996	YDL106C	PHO2	1.0000000000000027	YCR037C	PHO87	1.0000000000000024	YJL198W	PHO90	1.0000000000000016
1	YLR089C	ALT1	0.5701021693335495	YBL069W	AST1	0.47639479887317904	YIR036C	IRC24	0.49779653908613447	YPL019C	VTC3	0.7509687355123882	YOR083W	WHI5	0.629374221045245	YFR040W	SAP155	0.830643477983618	YDR538W	PAD1	0.5725158199388328	YPL019C	VTC3	0.6394180384573006	YML123C	PHO84	0.5370381392613586	YOR113W	AZF1	0.6535075679665584	YPR176C	BET2	0.5264905076262848	YNL062C	GCD10	0.5748869575002372
2	YOL119C	MCH4	0.4971999854094102	YFR034C	PHO4	0.46577653356508364	YPL196W	OXR1	0.4908359138149175	YJL012C	VTC4	0.7456884383285757	YOL067C	RTG1	0.5690644380808308	YML117W	NAB6	0.8004790830889547	YLR037C	PAU23	0.5636635579518472	YHR136C	SPL2	0.6234889047301614	YHR136C	SPL2	0.5219375036245382	YDR028C	REG1	0.6446591510569217	YDR506C	GMC1	0.487121962277599	YKL078W	DHR2	0.5543738390528016
3	YER175C	TMT1	0.44802313700061336	YPL023C	MET12	0.44681427555074393	YOL073C	DSC2	0.47003215485133826	YHR136C	SPL2	0.6921825376824094	YPL049C	DIG1	0.564012007259122	YBL105C	PKC1	0.7982968180558022	YDR404C	RPB7	0.5228349421605547	YDR281C	PHM6	0.6208209588649164	YKR097W	PCK1	0.4242323093436856	YGR130C	YGR130C	0.6337326709625264	YNR048W	YNR048W	0.48532300431305064	YJR124C	YJR124C	0.5261727041943612
4	YOR230W	WTM1	0.4430360755702503	YGL122C	NAB2	0.44102623813090863	YOL110W	SHR5	0.45400272740878506	YBR093C	PHO5	0.6368302361628647	YGR068C	ART5	0.561104211941222	YNL118C	DCP2	0.7853554973566556	YLL025W	PAU17	0.5216026824281562	YJL012C	VTC4	0.6041887908127024	YLR267W	BOP2	0.4228415990033342	YFR040W	SAP155	0.6304018614738551	YPL189W	GUP2	0.48169648068286924	YMR217W	GUA1	0.523949556771301
5	YDR077W	SED1	0.43976769699083945	YGL043W	DST1	0.43450319628694833	YIL087C	AIM19	0.45311509638625064	YER072W	VTC1	0.6289802297219005	YNL278W	CAF120	0.536271783118739	YDR293C	SSD1	0.7808021239484536	YMR252C	YMR252C	0.5105327235389943	YBR093C	PHO5	0.5620993690409914	YDR281C	PHM6	0.3971055603823462	YBL105C	PKC1	0.6078000935218755	YBL084C	CDC27	0.4708878435294262	YKR056W	TRM2	0.5189348828010298
6	YPL188W	POS5	0.4302301377364131	YGR002C	SWC4	0.4315963222712918	YER119C	AVT6	0.4500177399830872	YBR296C	PHO89	0.5370381392613586	YEL037C	RAD23	0.5335577386758349	YLR310C	CDC25	0.7791324640264865	YPL047W	SGF11	0.5092260136698628	YPL268W	PLC1	0.5281160780285885	YJL012C	VTC4	0.39423531639387904	YOL100W	PKH2	0.6046434465689117	YDR291W	HRQ1	0.4690637081315177	YPL226W	NEW1	0.5179755413008627
7	YNL241C	ZWF1	0.4153018542800514	YJL159W	HSP150	0.42306987927509865	YPL203W	TPK2	0.4488725667497188	YGR233C	PHO81	0.5145011680507964	YGR031W	IMO32	0.5327704176396718	YOR014W	RTS1	0.7748552708831228	YPL148C	PPT2	0.5083940528188787	YFL004W	VTC2	0.5231732572580619	YBR050C	REG2	0.39055993975582676	YHL010C	ETP1	0.6039316379238322	YOR038C	HIR2	0.4644100302282194	YDL014W	NOP1	0.5151270128915648
8	YIL056W	VHR1	0.41376360486560276	YDR054C	CDC34	0.42070387531710807	YDR231C	COX20	0.4473710798253718	YJL117W	PHO86	0.49502338346933894	YKR048C	NAP1	0.5321865925016271	YGR130C	YGR130C	0.7592248216714599	YOL072W	THP1	0.5050173980968646	YML123C	PHO84	0.5145011680507964	YCR010C	ADY2	0.38890476706205673	YDR096W	GIS1	0.6021059393636067	YNL158W	PGA1	0.46194683038044926	YGR159C	NSR1	0.5121024875878671
9	YDR099W	BMH2	0.4133389606293076	YLR116W	MSL5	0.41766588561830204	YOL071W	SDH5	0.4345523976128201	YDR281C	PHM6	0.4730420640505633	YNL187W	SWT21	0.5234941717466446	YER129W	SAK1	0.7567128377394043	YOL133W	HRT1	0.5008226517393056	YPL110C	GDE1	0.4725232749231998	YBR093C	PHO5	0.3874614605473823	YML117W	NAB6	0.6018599228566957	YJR098C	YJR098C	0.45021274932229327	YMR308C	PSE1	0.5020079727455092
